Gemeinde,Year,Abschnitt,Betrag in Euro
alkoven,2017,Allgemeinbildender Unterricht,663418.58
alkoven,2017,Förderung des Unterrichtes,167266.55
alkoven,2017,Sport und außerschulische Leibeserziehung,105834.99
alkoven,2017,Außerschulische Jugenerziehung,38164.16
alkoven,2017,Berufsb. Unterricht,32681.33
alkoven,2017,Forschung und Wissenschaft,2760.70
alkoven,2017,Erwachsenenbildung,1019.65
alkoven,2017,Summe,2757773.55
alkoven,2018,Vorschulische Erziehung,2047529.85
alkoven,2018,Allgemeinbildender Unterricht,997977.96
alkoven,2018,Förderung des Unterrichtes,182475.49
alkoven,2018,Außerschulische Jugenerziehung,71566.03
alkoven,2018,Berufsb. Unterricht,41037.73
alkoven,2018,Sport und außerschulische Leibeserziehung,29325.85
alkoven,2018,Forschung und Wissenschaft,4009.30
alkoven,2018,Erwachsenenbildung,1014.77
alkoven,2018,Summe,3374936.98
alkoven,2019,Vorschulische Erziehung,2494497.84
alkoven,2019,Allgemeinbildender Unterricht,835408.62
alkoven,2019,Berufsb. Unterricht,35306.63
alkoven,2019,Außerschulische Jugenerziehung,29297.72
alkoven,2019,Sport und außerschulische Leibeserziehung,22089.57
alkoven,2019,Forschung und Wissenschaft,4350.75
alkoven,2019,Erwachsenenbildung,1000.00
alkoven,2019,Förderung des Unterrichtes,0.00
alkoven,2019,Summe,3421951.13
allerheiligen-im-mühlkreis,2007,Allgemeinbildender Unterricht,478996.97
allerheiligen-im-mühlkreis,2007,Vorschulische Erziehung,138876.18
allerheiligen-im-mühlkreis,2007,Förderung des Unterrichtes,4355.23
allerheiligen-im-mühlkreis,2007,Sport und außerschulische Leibeserziehung,3335.52
allerheiligen-im-mühlkreis,2007,Berufsb. Unterricht,2429.26
allerheiligen-im-mühlkreis,2007,Summe,627993.16
allerheiligen-im-mühlkreis,2008,Allgemeinbildender Unterricht,391932.97
allerheiligen-im-mühlkreis,2008,Vorschulische Erziehung,152837.69
